Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
287;Abergain;eCO2;8;0,0710;1,843;56,1;10;16;22;6;12;6;32;Cultivar
288;Aspect;eCO2;8;0,0190;0,995;43,6;10;16;29;6;19;13;36;Cultivar
289;Semi-natural6;eCO2;8;0,0350;0,925;54;10;16;22;6;12;6;53;Semi
290;Semi-natural7;eCO2;8;0,0230;1,149;28,8;10;16;19;6;9;3;40;Semi
291;Semi-natural11;eCO2;8;0,0160;0,456;24,3;13;19;32;6;19;13;-43825;Semi
292;Wild4;eCO2;8;0,2000;3,565;34,1;6;17;26;11;20;9;36;Wild
293;Wild6;eCO2;8;0,0960;2,729;51,6;6;12;21;6;15;9;31;Wild
294;Wild7;eCO2;8;0,1570;3,008;35,9;8;10;28;2;20;18;49;Wild
295;Moy;eCO2W;8;0,0780;2,604;38,6;11;14;26;3;15;12;47;Cultivar
296;Lilora;eCO2W;8;0,2450;3,711;33,7;9;18;27;9;18;9;48;Cultivar
297;Solomon;eCO2W;8;0,2030;4,25;41,3;8;19;28;11;20;9;49;Cultivar
298;Carraig;eCO2W;8;0,1310;2,82;42,2;12;18;27;6;15;9;44;Cultivar
299;Dunluce;eCO2W;8;0,0000;0,189;41;10;13;26;3;16;13;-43831;Cultivar
300;Aberchoice;eCO2W;8;0,0210;0,259;32,9;17;23;29;6;12;6;50;Cultivar
301;Abergain;eCO2W;8;0,0270;0,999;50,2;10;16;26;6;16;10;40;Cultivar
302;Aspect;eCO2W;8;0,0820;1,606;39,6;9;18;27;9;18;9;38;Cultivar
303;Semi-natural6;eCO2W;8;0,0930;3,725;45,6;9;15;18;6;9;3;34;Semi
304;Semi-natural7;eCO2W;8;0,0290;1,988;38,6;6;15;24;9;18;9;42;Semi
305;Semi-natural11;eCO2W;8;0,1240;3,058;36,4;10;13;31;3;21;18;38;Semi
306;Wild4;eCO2W;8;0,1700;1,631;31,8;9;12;30;3;21;18;48;Wild
307;Wild6;eCO2W;8;0,2200;1,572;30,5;8;19;22;11;14;3;49;Wild
308;Wild7;eCO2W;8;0,1100;2,391;32,1;11;17;26;6;15;9;47;Wild
309;Moy;eCO2W;8;0,0210;1,166;40;9;15;18;6;9;3;39;Cultivar
310;Lilora;eCO2W;8;0,1220;3,661;40,4;11;17;26;6;15;9;43;Cultivar
311;Solomon;eCO2W;8;0,0840;1,943;36,6;11;17;26;6;15;9;36;Cultivar
312;Carraig;eCO2W;8;0,0650;1,523;46,3;11;20;26;9;15;6;47;Cultivar
313;Dunluce;eCO2W;8;0,0400;0,872;50,1;8;14;17;6;9;3;-43833;Cultivar
314;Aberchoice;eCO2W;8;0,1410;2,722;61,5;12;21;27;9;15;6;41;Cultivar
315;Abergain;eCO2W;8;0,0710;1,429;62,1;10;16;22;6;12;6;46;Cultivar
316;Aspect;eCO2W;8;0,1430;3,432;50,2;11;17;26;6;15;9;47;Cultivar
